89.088540 290.361173	3.73e-01  8.30e-01  4.39e+05	0.0000 58.4491 0.2149	
89.088540 290.361173	6.78e-01  8.30e-01  3.85e+05	0.2110 86.7288 0.2033	
89.088540 290.361173	4.93e-01  8.68e-01  4.09e+05	13.3639 74.1968 0.8942	
89.088540 290.361173	4.19e-01  8.46e-01  4.27e+05	15.6750 64.0190 0.6184	
89.088540 290.361173	6.19e-01  7.93e-01  4.01e+05	-11.3645 78.9069 0.7418	
89.088540 290.361173	7.33e-01  9.21e-01  3.64e+05	39.7136 87.0717 0.4814	
89.088540 290.361173	4.58e-01  7.71e-01  4.34e+05	13.3652 60.3282 0.5095	
89.088540 290.361173	5.18e-01  8.23e-01  4.13e+05	11.9768 72.6608 0.9966	
89.088540 290.361173	6.08e-01  8.01e-01  4.01e+05	10.0151 78.8328 0.4631	
89.088540 290.361173	7.44e-01  9.21e-01  3.63e+05	-8.0066 95.9432 0.7187	
89.088540 290.361173	5.87e-01  7.65e-01  4.11e+05	12.2176 73.5402 0.5648	
89.088540 290.361173	6.91e-01  8.01e-01  3.88e+05	-0.3441 85.7120 0.3068	
89.088540 290.361173	5.06e-01  7.32e-01  4.32e+05	22.8730 58.4799 0.0854	
89.088540 290.361173	3.75e-01  7.18e-01  4.62e+05	-8.4312 39.8910 0.4470	
89.088540 290.361173	5.53e-01  9.68e-01  3.83e+05	4.4039 87.5362 0.8936	
89.088540 290.361173	6.14e-01  7.74e-01  4.05e+05	3.1560 77.6934 0.8626	
89.088540 290.361173	5.98e-01  7.35e-01  4.14e+05	-13.7791 71.5315 0.2239	
89.088540 290.361173	6.85e-01  8.46e-01  3.82e+05	-27.7918 83.8528 0.5310	
89.088540 290.361173	5.85e-01  9.33e-01  3.84e+05	18.7892 85.4396 0.4513	
89.088540 290.361173	7.84e-01  9.51e-01  3.53e+05	17.0732 98.4762 0.2975	
89.088540 290.361173	6.19e-01  7.42e-01  4.09e+05	9.5977 74.8276 0.9237	
89.088540 290.361173	6.08e-01  8.52e-01  3.93e+05	12.5255 82.4180 0.1072	
89.088540 290.361173	6.97e-01  8.72e-01  3.76e+05	25.4262 87.0681 0.5690	
89.088540 290.361173	5.76e-01  7.80e-01  4.10e+05	-8.1610 74.5389 0.4638	
89.088540 290.361173	6.50e-01  7.23e-01  4.07e+05	-17.7980 74.3350 0.4244	
89.088540 290.361173	6.61e-01  7.65e-01  3.98e+05	13.7490 79.6207 0.4616	
89.088540 290.361173	5.69e-01  6.56e-01  4.34e+05	25.5902 55.6926 0.2512	
89.088540 290.361173	4.02e-01  8.60e-01  4.27e+05	-8.8127 65.0628 0.6866	
89.088540 290.361173	5.29e-01  7.59e-01  4.22e+05	-4.5039 68.3020 0.5772	
89.088540 290.361173	4.68e-01  7.35e-01  4.39e+05	23.9248 53.3077 0.2555	
89.088540 290.361173	5.51e-01  9.27e-01  3.90e+05	6.1877 84.4785 0.5186	
89.088540 290.361173	3.93e-01  7.61e-01  4.48e+05	-21.7440 46.8555 0.5564	
89.088540 290.361173	5.70e-01  7.10e-01  4.24e+05	43.5619 51.6549 0.1581	
89.088540 290.361173	6.16e-01  8.55e-01  3.91e+05	-25.6934 80.1960 0.1547	
89.088540 290.361173	6.34e-01  8.41e-01  3.90e+05	-54.6923 64.4218 0.6214	
89.088540 290.361173	5.35e-01  7.53e-01  4.22e+05	-18.6838 65.7883 0.2582	
89.088540 290.361173	6.70e-01  9.56e-01  3.68e+05	-17.8337 92.4807 0.6978	
89.088540 290.361173	6.50e-01  8.68e-01  3.84e+05	-32.4852 81.2131 0.8752	
89.088540 290.361173	4.68e-01  8.44e-01  4.18e+05	40.9579 57.7060 0.7475	
89.088540 290.361173	5.51e-01  7.33e-01  4.23e+05	33.0332 59.4507 0.9825	
89.088540 290.361173	6.38e-01  6.68e-01  4.19e+05	-30.0401 63.4770 0.6630	
89.088540 290.361173	6.33e-01  6.99e-01  4.14e+05	28.8674 66.8643 0.0179	
89.088540 290.361173	7.29e-01  8.96e-01  3.68e+05	-14.7999 92.8859 0.9871	
89.088540 290.361173	5.94e-01  8.05e-01  4.03e+05	18.2546 76.4975 0.0830	
89.088540 290.361173	6.13e-01  7.29e-01  4.12e+05	16.6029 71.8409 0.9444	
89.088540 290.361173	6.32e-01  9.30e-01  3.77e+05	9.5063 89.8187 0.6066	
89.088540 290.361173	6.83e-01  7.92e-01  3.90e+05	-9.7693 83.8709 0.3863	
89.088540 290.361173	3.89e-01  8.49e-01  4.32e+05	-1.0569 62.9419 0.8816	
89.088540 290.361173	5.70e-01  7.93e-01  4.09e+05	-11.1189 74.7454 0.1577	
89.088540 290.361173	6.29e-01  8.23e-01  3.94e+05	28.0710 77.8699 0.0278	
89.088540 290.361173	5.76e-01  8.17e-01  4.04e+05	1.2756 78.1868 0.2539	
89.088540 290.361173	7.09e-01  7.78e-01  3.89e+05	6.9890 85.0395 0.3931	
89.088540 290.361173	4.64e-01  8.24e-01  4.22e+05	-33.3002 59.7321 0.7290	
