0.00 0.00 0.00 0.00 0.00  0.00 0.00 0.00 0.00
19.00 27.92 -2.11 -191.96 153.30  -101.43 33.84 265.78 845.25
43.74 101.37 77.21 -266.02 -207.03  -261.75 134.73 426.78 -52834.70
33.86 15.94 -156.38 13.45 -194.00  -130.70 160.79 234.30 17801.69
-109.31 -203.93 -71.51 -13.07 -19.33  37.37 242.18 44.05 2699.49
159.15 -76.53 55.02 -69.21 104.33  -70.77 184.97 143.82 -22894.02
22.66 58.76 12.34 -368.15 -20.46  -152.94 64.18 399.18 -11430.67
-113.30 -96.76 -159.40 25.16 -129.44  -80.95 218.19 154.73 22577.78
29.17 182.33 17.16 -99.75 52.39  -49.30 185.44 122.99 5795.91
-18.32 20.43 41.01 -161.05 -181.00  -75.00 49.34 253.63 -3824.46
-102.64 82.77 -36.82 -71.62 -56.23  54.85 136.90 106.30 677.89
80.44 -11.62 -32.73 -125.36 -81.91  85.14 87.61 172.26 -11918.07
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
-42.39 2.23 3.45 47.25 137.51 -135.92 42.59 199.03 -2165.18
23.13 124.14 -48.22 -34.94 -127.22 -3.65 135.17 131.98 -16424.94
-45.46 -59.24 22.36 -147.51 133.53 82.18 77.95 215.28 633.78
98.87 -76.58 114.15 -202.63 3.81 67.19 169.32 213.51 -12655.01
106.99 -119.42 109.83 -181.93 2.89 81.15 194.35 199.23 -10897.53
-142.50 121.73 -69.67 74.71 -75.60 29.26 199.95 110.24 -21888.35
9.96 0.93 1.59 -29.67 -1.53 161.09 10.13 163.80 -40.74
59.59 -77.66 71.57 81.00 -33.23 -68.88 121.26 111.40 2477.23
-76.18 -23.14 48.42 -134.43 103.03 -95.81 93.18 194.59 3217.17
6.30 3.32 -2.05 56.86 8.41 149.97 7.41 160.61 79.17
-40.80 83.60 0.75 -131.10 23.15 -52.92 93.03 143.26 7244.74
0.27 -20.69 12.01 -86.94 118.73 -48.92 23.93 155.08 -3067.56
79.34 12.12 53.36 -86.99 143.69 -14.46 96.38 168.59 -5931.67
15.33 67.01 -27.84 192.61 155.70 173.79 74.16 302.56 8547.21
101.32 -74.54 56.33 19.07 4.99 -54.29 137.83 57.76 -1498.12
-1.12 -17.84 6.17 -77.32 141.53 -40.77 18.91 166.35 -2689.65
41.33 -46.48 64.61 42.24 -3.16 -105.35 89.69 113.55 -4914.55
-6.78 -10.84 -58.67 222.53 100.47 -65.56 60.05 252.81 1249.06
21.98 39.75 -79.75 255.16 -55.11 162.09 91.78 307.27 -9508.45
0.00 0.00 0.00 0.00 0.00  0.00 0.00 0.00 0.00
26.54 -80.95 -37.70 -3.91 164.42  -95.77 93.15 190.32 -9803.23
-31.70 88.12 160.53 -118.68 -46.57  101.92 185.85 163.23 16021.14
86.79 78.30 47.66 -78.45 53.21  42.37 126.24 103.83 -623.56
-7.44 -2.16 -5.96 -82.98 -75.53  182.24 9.77 214.02 -307.07
3.03 -94.98 -28.55 3.19 95.41  188.79 99.22 211.55 -14443.04
43.77 168.71 25.68 -103.31 40.06  51.03 176.18 121.99 3546.09
23.69 68.70 88.06 -95.60 -157.61  -76.83 114.18 199.71 -19859.02
111.79 118.14 12.25 -20.18 119.25  92.11 163.11 152.03 12961.11
0.10 -49.55 21.65 159.80 245.07  -50.90 54.07 296.97 -13229.91
28.61 99.75 169.78 78.93 -43.51  -10.58 198.98 90.74 -3877.84
53.53 19.69 -67.16 96.40 -75.47  -66.79 88.11 139.46 8159.87
90.43 69.62 24.43 -81.86 39.32  -63.94 116.71 111.07 -6226.98
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
-100.76 -27.42 -80.63 71.64 -80.42 -129.63 131.93 168.54 5438.81
-90.82 -42.39 47.48 53.35 140.91 35.45 110.91 154.79 -9135.62
41.35 55.10 -28.41 -217.59 35.11 -87.91 74.52 237.29 -4565.64
36.55 -5.11 24.11 120.60 26.28 -111.78 44.08 166.52 1578.76
-5.06 -1.41 -4.22 11.81 -130.38 86.75 6.73 157.05 -242.38
-22.68 165.56 36.17 59.12 -140.99 80.03 170.97 172.57 -21789.09
76.04 19.96 11.70 -17.17 144.70 69.60 79.48 161.49 2396.99
0.00 0.00 0.00 0.00 0.00  0.00 0.00 0.00 0.00
-14.91 2.22 57.61 112.56 -79.15  -289.93 59.55 320.93 -18557.99
-25.61 -36.47 56.40 -45.04 350.68  111.27 71.88 370.66 -5359.38
-35.69 -82.62 84.57 -89.19 -34.76  128.13 123.50 159.94 16891.08
74.83 -136.34 -31.50 168.43 153.96  -97.52 158.68 248.16 -5314.20
-3.03 -50.38 53.03 -97.23 336.72  194.81 73.21 400.98 -6338.80
32.35 -163.35 -114.59 119.90 -86.78  -62.87 202.14 160.80 25258.04
