18.275667 257.683915	5.37e-01  8.83e-01  3.87e+02	0.0000 21.4312 0.8797	
18.275667 257.683915	7.52e-01  8.78e-01  3.64e+02	0.2539 44.9624 0.3718	
18.275667 257.683915	8.06e-01  8.63e-01  3.59e+02	-25.5247 40.7000 0.7784	
18.275667 257.683915	7.33e-01  9.34e-01  3.58e+02	-2.0666 48.8324 0.6447	
18.275667 257.683915	8.01e-01  9.61e-01  3.47e+02	15.8725 53.3006 0.5743	
18.275667 257.683915	6.68e-01  9.16e-01  3.68e+02	0.0478 41.8836 0.8195	
18.275667 257.683915	5.94e-01  8.76e-01  3.82e+02	-15.0989 23.8209 0.7991	
18.275667 257.683915	6.35e-01  9.37e-01  3.68e+02	-1.6935 41.6345 0.2338	
18.275667 257.683915	6.62e-01  8.77e-01  3.74e+02	-9.5606 35.0570 0.7105	
18.275667 257.683915	7.35e-01  9.09e-01  3.61e+02	-16.1779 43.8130 0.1611	
18.275667 257.683915	6.27e-01  8.33e-01  3.85e+02	-4.8929 23.6876 0.9133	
18.275667 257.683915	6.60e-01  9.10e-01  3.70e+02	-2.7857 40.3064 0.5353	
18.275667 257.683915	6.75e-01  8.91e-01  3.71e+02	-9.8927 38.2212 0.9178	
18.275667 257.683915	6.14e-01  9.00e-01  3.76e+02	-13.4342 31.9480 0.8941	
18.275667 257.683915	7.38e-01  8.91e-01  3.64e+02	9.8762 43.9592 0.4916	
18.275667 257.683915	6.31e-01  8.74e-01  3.78e+02	4.4910 32.0079 0.0880	
18.275667 257.683915	6.70e-01  9.19e-01  3.67e+02	-13.0791 40.3232 0.6970	
18.275667 257.683915	6.94e-01  8.59e-01  3.73e+02	16.3203 33.5062 0.7536	
18.275667 257.683915	6.37e-01  9.27e-01  3.69e+02	17.6812 36.5236 0.3857	
18.275667 257.683915	7.47e-01  7.69e-01  3.79e+02	-9.6906 29.7550 0.8768	
18.275667 257.683915	6.31e-01  8.78e-01  3.78e+02	-14.6286 29.6117 0.2241	
18.275667 257.683915	7.71e-01  9.10e-01  3.57e+02	8.9531 48.7534 0.1862	
18.275667 257.683915	6.24e-01  8.38e-01  3.84e+02	17.3497 17.6101 0.1355	
18.275667 257.683915	6.67e-01  8.42e-01  3.79e+02	1.7150 31.7657 0.5787	
18.275667 257.683915	7.63e-01  9.24e-01  3.56e+02	21.0221 45.5347 0.4188	
18.275667 257.683915	6.08e-01  9.27e-01  3.72e+02	-11.6407 36.2315 0.0804	
18.275667 257.683915	7.72e-01  8.31e-01  3.68e+02	-1.4656 41.8369 0.7974	
18.275667 257.683915	7.45e-01  9.13e-01  3.60e+02	3.9838 47.6559 0.1642	
18.275667 257.683915	6.94e-01  8.26e-01  3.78e+02	8.0995 31.5182 0.3618	
18.275667 257.683915	5.31e-01  9.62e-01  3.74e+02	-2.7432 36.2165 0.6083	
18.275667 257.683915	5.46e-01  9.31e-01  3.78e+02	12.9977 29.9977 0.6723	
18.275667 257.683915	6.69e-01  8.60e-01  3.76e+02	3.5207 34.4968 0.1682	
18.275667 257.683915	5.75e-01  9.48e-01  3.72e+02	8.9699 36.9942 0.5461	
18.275667 257.683915	5.25e-01  9.62e-01  3.75e+02	-2.5980 35.7335 0.0732	
18.275667 257.683915	5.68e-01  9.54e-01  3.72e+02	7.3836 37.6094 0.2938	
18.275667 257.683915	5.35e-01  9.13e-01  3.82e+02	6.1237 27.6109 0.1999	
18.275667 257.683915	7.16e-01  8.57e-01  3.71e+02	20.0514 33.7281 0.1306	
18.275667 257.683915	6.95e-01  9.66e-01  3.58e+02	0.4208 49.1897 0.3979	
18.275667 257.683915	5.51e-01  9.56e-01  3.73e+02	-6.8198 36.4996 0.2740	
18.275667 257.683915	8.01e-01  9.15e-01  3.53e+02	1.4173 52.1310 0.1593	
18.275667 257.683915	8.04e-01  8.96e-01  3.55e+02	-12.3561 49.2648 0.5499	
18.275667 257.683915	6.71e-01  8.79e-01  3.73e+02	-1.2103 37.5698 0.3252	
18.275667 257.683915	8.74e-01  9.08e-01  3.46e+02	-20.5147 52.6569 0.4887	
18.275667 257.683915	5.54e-01  9.76e-01  3.70e+02	-0.7796 40.1904 0.7049	
18.275667 257.683915	6.35e-01  8.31e-01  3.84e+02	-9.3632 23.3418 0.6033	
18.275667 257.683915	6.30e-01  8.23e-01  3.86e+02	-2.1853 22.4814 0.0340	
18.275667 257.683915	6.24e-01  8.88e-01  3.77e+02	1.0076 33.8444 0.9492	
18.275667 257.683915	8.34e-01  9.12e-01  3.50e+02	-33.8272 42.2531 0.1254	
18.275667 257.683915	6.74e-01  8.36e-01  3.79e+02	-9.8449 30.0544 0.4466	
18.275667 257.683915	7.12e-01  9.35e-01  3.60e+02	-7.8686 46.7589 0.9098	
18.275667 257.683915	6.31e-01  9.18e-01  3.71e+02	-6.5479 38.2654 0.9639	
18.275667 257.683915	7.32e-01  9.39e-01  3.58e+02	23.8625 43.1017 0.6713	
18.275667 257.683915	7.45e-01  9.09e-01  3.60e+02	11.0649 46.0551 0.1712	
18.275667 257.683915	5.69e-01  9.72e-01  3.69e+02	-20.5416 35.2363 0.6712	
18.275667 257.683915	5.66e-01  9.03e-01  3.80e+02	14.7146 26.1302 0.0962	
18.275667 257.683915	6.36e-01  8.82e-01  3.76e+02	-3.5197 34.1216 0.5398	
18.275667 257.683915	7.36e-01  9.96e-01  3.49e+02	-20.9742 50.2111 0.9709	
18.275667 257.683915	7.59e-01  9.72e-01  3.50e+02	3.7715 53.7653 0.8352	
18.275667 257.683915	6.70e-01  8.76e-01  3.73e+02	26.4213 25.9934 0.1495	
18.275667 257.683915	5.35e-01  9.53e-01  3.75e+02	-24.3895 25.5053 0.8596	
18.275667 257.683915	5.09e-01  9.85e-01  3.72e+02	-1.2188 37.9849 0.6656	
18.275667 257.683915	6.53e-01  9.35e-01  3.66e+02	-2.1246 42.8574 0.5214	
18.275667 257.683915	7.96e-01  8.14e-01  3.67e+02	3.7567 42.3826 0.6881	
18.275667 257.683915	7.37e-01  9.10e-01  3.61e+02	14.1471 44.7392 0.3169	
18.275667 257.683915	7.23e-01  9.32e-01  3.60e+02	2.0945 47.8966 0.9941	
18.275667 257.683915	6.50e-01  9.39e-01  3.66e+02	-14.6400 40.6026 0.3716	
18.275667 257.683915	6.19e-01  9.79e-01  3.63e+02	-9.8042 44.2342 0.8025	
18.275667 257.683915	6.92e-01  9.44e-01  3.61e+02	14.7768 44.4953 0.7816	
18.275667 257.683915	8.36e-01  8.90e-01  3.52e+02	21.7418 47.9329 0.7071	
18.275667 257.683915	7.24e-01  8.82e-01  3.66e+02	18.7697 38.6194 0.4773	
18.275667 257.683915	7.03e-01  8.36e-01  3.75e+02	9.0599 34.0809 0.5446	
18.275667 257.683915	5.20e-01  9.87e-01  3.71e+02	9.6330 37.8445 0.1218	
18.275667 257.683915	6.97e-01  9.26e-01  3.63e+02	-32.3729 31.7340 0.1775	
18.275667 257.683915	6.77e-01  8.90e-01  3.71e+02	-10.8568 38.0455 0.4800	
18.275667 257.683915	6.74e-01  8.94e-01  3.70e+02	19.1274 34.8173 0.1236	
18.275667 257.683915	7.40e-01  8.79e-01  3.65e+02	5.9098 43.6560 0.7685	
18.275667 257.683915	6.97e-01  8.18e-01  3.79e+02	-14.1458 28.4076 0.7346	
18.275667 257.683915	7.17e-01  8.75e-01  3.68e+02	10.1431 40.2213 0.0413	
18.275667 257.683915	6.26e-01  8.35e-01  3.85e+02	-6.4645 23.7117 0.2299	
18.275667 257.683915	8.29e-01  9.40e-01  3.47e+02	1.1157 55.7959 0.7989	
18.275667 257.683915	6.20e-01  8.62e-01  3.81e+02	2.2094 28.9855 0.4438	
18.275667 257.683915	5.64e-01  9.11e-01  3.79e+02	-9.2458 29.7444 0.7287	
18.275667 257.683915	5.34e-01  9.56e-01  3.75e+02	7.3926 34.9060 0.5766	
18.275667 257.683915	6.65e-01  8.49e-01  3.78e+02	10.0441 30.8883 0.9809	
18.275667 257.683915	5.17e-01  9.20e-01  3.82e+02	2.9172 27.2921 0.8641	
18.275667 257.683915	7.13e-01  8.66e-01  3.70e+02	-13.3133 37.8506 0.4237	
18.275667 257.683915	6.90e-01  8.70e-01  3.72e+02	6.4731 37.7496 0.1270	
18.275667 257.683915	7.14e-01  8.22e-01  3.76e+02	-11.0699 32.7815 0.8955	
18.275667 257.683915	4.68e-01  9.40e-01  3.83e+02	-11.7612 23.3924 0.6555	
18.275667 257.683915	6.85e-01  7.98e-01  3.83e+02	-2.6030 26.4324 0.7267	
18.275667 257.683915	6.40e-01  8.24e-01  3.85e+02	-5.6344 23.6891 0.7945	
18.275667 257.683915	7.13e-01  9.52e-01  3.58e+02	-20.7969 44.4223 0.2623	
18.275667 257.683915	6.64e-01  9.25e-01  3.67e+02	1.8696 42.5229 0.1267	
18.275667 257.683915	7.09e-01  8.91e-01  3.67e+02	25.3475 34.1782 0.1012	
18.275667 257.683915	6.60e-01  8.34e-01  3.81e+02	11.1749 27.2360 0.8187	
18.275667 257.683915	6.93e-01  8.70e-01  3.72e+02	16.7531 34.8068 0.7325	
18.275667 257.683915	7.18e-01  8.70e-01  3.69e+02	4.0298 40.9196 0.1670	
18.275667 257.683915	7.32e-01  7.59e-01  3.83e+02	-6.7523 26.4070 0.9759	
18.275667 257.683915	6.90e-01  7.93e-01  3.83e+02	11.8762 23.6164 0.2852	
18.275667 257.683915	7.21e-01  8.32e-01  3.74e+02	6.9695 35.9913 0.3137	
18.275667 257.683915	6.82e-01  8.82e-01  3.71e+02	3.3458 38.8065 0.6122	
18.275667 257.683915	6.69e-01  9.09e-01  3.69e+02	7.5980 40.3567 0.2978	
18.275667 257.683915	6.38e-01  8.78e-01  3.77e+02	-17.9392 28.7996 0.0960	
18.275667 257.683915	6.32e-01  9.04e-01  3.73e+02	-4.2887 36.8569 0.1074	
18.275667 257.683915	6.15e-01  9.27e-01  3.72e+02	-10.3137 37.1205 0.0894	
18.275667 257.683915	6.85e-01  8.83e-01  3.71e+02	-11.4841 37.6536 0.9048	
18.275667 257.683915	7.43e-01  9.15e-01  3.60e+02	11.8318 46.3626 0.6527	
18.275667 257.683915	6.85e-01  8.48e-01  3.76e+02	-0.3127 34.7186 0.4194	
18.275667 257.683915	6.35e-01  8.65e-01  3.79e+02	-18.3218 25.5511 0.8196	
18.275667 257.683915	6.21e-01  8.74e-01  3.79e+02	-16.7284 26.5186 0.9939	
18.275667 257.683915	6.97e-01  8.42e-01  3.75e+02	-5.0638 34.8641 0.7076	
18.275667 257.683915	6.43e-01  9.10e-01  3.71e+02	9.1925 37.8301 0.2511	
18.275667 257.683915	7.09e-01  8.10e-01  3.78e+02	-7.6578 31.1265 0.4376	
18.275667 257.683915	7.36e-01  8.56e-01  3.69e+02	-7.1409 40.5389 0.7311	
18.275667 257.683915	7.41e-01  9.30e-01  3.58e+02	-1.0240 49.0210 0.8906	
18.275667 257.683915	6.88e-01  8.83e-01  3.70e+02	-5.5809 39.3816 0.8091	
18.275667 257.683915	7.07e-01  8.55e-01  3.72e+02	15.8440 34.6500 0.6955	
18.275667 257.683915	7.09e-01  8.54e-01  3.72e+02	-6.5623 37.5398 0.1130	
