22.494444 188.310913	2.45e+04  7.48e+04  8.31e+04	33.37 0.07	-0.8486 0.7386 -0.8170	
22.494444 188.310913	4.50e+04  6.81e+04  6.93e+04	 55.28 -9.37	 -0.1784 -0.4034 0.9072	
22.494444 188.310913	5.12e+04  6.13e+04  6.99e+04	 40.07 6.60	 -0.8741 -0.8234 0.8008	
22.494444 188.310913	2.76e+04  7.49e+04  7.99e+04	 46.10 0.27	 0.4947 0.2948 0.9740	
22.494444 188.310913	5.28e+04  6.14e+04  6.82e+04	 55.94 2.45	 0.5129 0.5414 0.4352	
22.494444 188.310913	4.51e+04  5.38e+04  8.35e+04	 37.37 17.23	 -0.0382 -0.1721 -0.9666	
22.494444 188.310913	4.04e+04  6.51e+04  7.69e+04	 43.96 -4.03	 -0.7903 0.4732 -0.9115	
22.494444 188.310913	2.80e+04  7.34e+04  8.09e+04	 23.06 -7.87	 -0.4222 0.2483 -0.5403	
22.494444 188.310913	3.54e+04  6.95e+04  7.75e+04	 40.00 -9.85	 -0.2852 -0.3643 0.9962	
22.494444 188.310913	3.42e+04  7.16e+04  7.66e+04	 43.59 -11.12	 0.0374 -0.2932 0.8055	
22.494444 188.310913	4.44e+04  6.62e+04  7.18e+04	 46.64 -15.20	 0.4480 -0.4974 -0.8559	
22.494444 188.310913	5.00e+04  5.82e+04  7.42e+04	 42.93 -12.79	 0.0902 -0.5145 0.4719	
22.494444 188.310913	3.29e+04  6.79e+04  8.16e+04	 34.10 -0.11	 -0.1632 -0.1092 0.9934	
22.494444 188.310913	2.95e+04  7.40e+04  7.89e+04	 53.42 -12.17	 0.1331 0.0668 0.5100	
22.494444 188.310913	3.07e+04  6.49e+04  8.67e+04	 38.33 3.61	 -0.9247 -0.9878 0.8989	
22.494444 188.310913	3.48e+04  7.14e+04  7.62e+04	 30.52 5.36	 -0.1869 0.0298 -0.7478	
22.494444 188.310913	3.99e+04  5.85e+04  8.40e+04	 20.79 -5.06	 0.5496 -0.7099 -0.9698	
22.494444 188.310913	3.02e+04  7.23e+04  7.99e+04	 53.58 1.89	 0.4418 0.3972 0.8177	
22.494444 188.310913	4.14e+04  6.63e+04  7.47e+04	 45.42 -13.43	 0.0603 -0.4472 0.8560	
22.494444 188.310913	2.93e+04  6.78e+04  8.53e+04	 20.85 -2.51	 0.1591 0.0830 0.9761	
22.494444 188.310913	5.24e+04  6.31e+04  6.68e+04	 39.01 3.50	 -0.0858 0.0367 0.4138	
22.494444 188.310913	4.89e+04  5.67e+04  7.67e+04	 55.23 3.36	 0.4330 0.2222 0.8156	
22.494444 188.310913	5.27e+04  5.67e+04  7.30e+04	 50.53 -23.61	 0.1894 0.7621 0.0063	
22.494444 188.310913	4.58e+04  5.76e+04  7.89e+04	 30.03 6.53	 -0.0342 -0.3305 0.8211	
22.494444 188.310913	4.19e+04  6.21e+04  7.83e+04	 50.37 23.41	 0.5805 -0.8530 -0.8205	
