13.453624 154.667385	1.09e+05  1.50e+05  1.90e+05	77.29 24.62	-0.7160 -0.4143 0.7467	
13.453624 154.667385	1.05e+05  1.50e+05  1.94e+05	 75.00 -1.31	 -0.6144 -0.3313 0.9460	
13.453624 154.667385	9.43e+04  1.58e+05  1.97e+05	 52.86 11.54	 0.2472 0.9638 0.4967	
13.453624 154.667385	1.13e+05  1.55e+05  1.82e+05	 92.09 -7.47	 0.5934 0.8341 0.9234	
13.453624 154.667385	1.22e+05  1.41e+05  1.87e+05	 87.88 -3.90	 -0.0083 -0.2894 -0.6897	
13.453624 154.667385	1.08e+05  1.45e+05  1.96e+05	 65.51 13.69	 -0.7253 -0.7946 0.9334	
13.453624 154.667385	1.00e+05  1.63e+05  1.86e+05	 76.98 14.23	 -0.2835 -0.0998 0.9191	
13.453624 154.667385	1.23e+05  1.57e+05  1.69e+05	 70.32 8.84	 0.1197 -0.7788 0.1260	
13.453624 154.667385	9.29e+04  1.64e+05  1.92e+05	 85.47 -29.54	 -0.6831 -0.9001 0.5404	
13.453624 154.667385	1.06e+05  1.50e+05  1.94e+05	 59.21 -31.68	 -0.3723 -0.7487 0.8819	
13.453624 154.667385	1.13e+05  1.41e+05  1.95e+05	 73.08 -54.47	 0.1473 0.0917 0.3032	
13.453624 154.667385	8.27e+04  1.70e+05  1.96e+05	 48.10 -20.35	 -0.1500 0.0898 -0.9589	
13.453624 154.667385	1.06e+05  1.45e+05  1.98e+05	 98.96 3.53	 0.3469 -0.6327 -0.9295	
13.453624 154.667385	8.67e+04  1.76e+05  1.87e+05	 48.39 -12.65	 0.1341 -0.8416 -0.0269	
13.453624 154.667385	1.09e+05  1.66e+05  1.74e+05	 91.52 -11.29	 0.0958 -0.9557 -0.1146	
13.453624 154.667385	1.07e+05  1.50e+05  1.92e+05	 48.03 13.93	 -0.1068 0.1091 -0.9704	
13.453624 154.667385	1.09e+05  1.43e+05  1.97e+05	 76.04 -8.81	 -0.0269 -0.2643 0.8576	
13.453624 154.667385	1.27e+05  1.50e+05  1.72e+05	 68.75 -11.45	 -0.0539 -0.3810 0.9043	
13.453624 154.667385	1.16e+05  1.52e+05  1.81e+05	 70.27 37.29	 -0.5271 -0.6051 0.9268	
13.453624 154.667385	1.12e+05  1.30e+05  2.08e+05	 79.12 -10.85	 0.1219 0.4260 0.6901	
13.453624 154.667385	1.02e+05  1.64e+05  1.84e+05	 58.45 1.47	 -0.6671 0.3951 0.4075	
13.453624 154.667385	1.05e+05  1.58e+05  1.87e+05	 81.86 31.81	 0.1984 0.5254 0.6669	
13.453624 154.667385	9.63e+04  1.59e+05  1.95e+05	 59.96 6.15	 0.3723 0.2738 0.9445	
13.453624 154.667385	8.01e+04  1.75e+05  1.94e+05	 68.65 41.44	 -0.2524 0.9394 -0.5644	
13.453624 154.667385	9.61e+04  1.65e+05  1.89e+05	 78.86 -11.34	 0.5442 -0.7418 -0.2469	
13.453624 154.667385	1.07e+05  1.63e+05  1.80e+05	 83.76 2.88	 0.4861 -0.1484 0.7714	
13.453624 154.667385	1.07e+05  1.44e+05  1.99e+05	 67.73 -7.86	 0.3056 0.3768 0.9958	
13.453624 154.667385	1.27e+05  1.48e+05  1.75e+05	 67.37 3.72	 -0.9385 -0.7017 0.8293	
13.453624 154.667385	1.07e+05  1.58e+05  1.84e+05	 72.19 -1.33	 -0.5427 -0.5924 0.9886	
13.453624 154.667385	1.36e+05  1.48e+05  1.66e+05	 67.57 25.20	 -0.5569 -0.9007 0.2838	
13.453624 154.667385	9.77e+04  1.50e+05  2.02e+05	 63.59 -9.39	 0.3664 0.4032 0.9719	
13.453624 154.667385	1.01e+05  1.48e+05  2.00e+05	 76.12 -15.88	 -0.1659 -0.2435 -0.8931	
13.453624 154.667385	9.63e+04  1.64e+05  1.90e+05	 67.22 -14.89	 -0.2533 -0.7527 0.8276	
13.453624 154.667385	1.01e+05  1.73e+05  1.76e+05	 90.69 3.95	 0.0246 -0.1589 -0.8813	
13.453624 154.667385	1.11e+05  1.42e+05  1.96e+05	 51.30 31.05	 0.1959 -0.6012 -0.8988	
13.453624 154.667385	1.02e+05  1.65e+05  1.83e+05	 78.21 -23.02	 -0.9513 -0.9916 0.9726	
13.453624 154.667385	1.03e+05  1.42e+05  2.04e+05	 43.90 6.58	 0.1215 0.0227 0.9409	
13.453624 154.667385	9.66e+04  1.52e+05  2.01e+05	 61.89 -17.69	 -0.2918 -0.4334 0.9272	
13.453624 154.667385	1.04e+05  1.59e+05  1.86e+05	 73.36 -17.24	 -0.0559 0.4695 0.7759	
