22.494444 262.659475	4.91e+04  1.61e+05  1.99e+05	-0.0000 20.9649 -0.8515	
22.494444 262.659475	9.97e+04  1.50e+05  1.60e+05	4.9532 61.1108 0.6381	
22.494444 262.659475	8.37e+04  1.36e+05  1.90e+05	23.2985 26.3196 -0.7288	
22.494444 262.659475	8.02e+04  1.46e+05  1.83e+05	-12.2862 40.5122 0.3177	
22.494444 262.659475	1.21e+05  1.36e+05  1.53e+05	26.0843 60.3625 -0.1014	
22.494444 262.659475	9.42e+04  1.46e+05  1.69e+05	-16.4971 51.6028 -0.0968	
22.494444 262.659475	1.04e+05  1.30e+05  1.75e+05	10.2151 48.2715 0.5784	
22.494444 262.659475	1.08e+05  1.32e+05  1.70e+05	-20.4668 49.9573 0.3560	
22.494444 262.659475	8.08e+04  1.52e+05  1.77e+05	5.2460 47.7044 0.7292	
22.494444 262.659475	8.12e+04  1.48e+05  1.80e+05	5.6445 44.9729 -0.9549	
22.494444 262.659475	9.14e+04  1.46e+05  1.72e+05	-0.2665 52.2886 -0.2376	
22.494444 262.659475	9.33e+04  1.56e+05  1.60e+05	-17.6001 58.1676 0.2891	
22.494444 262.659475	1.10e+05  1.40e+05  1.60e+05	16.3171 58.8620 0.3593	
22.494444 262.659475	7.75e+04  1.56e+05  1.75e+05	-26.8848 41.3942 -0.1133	
22.494444 262.659475	9.64e+04  1.42e+05  1.71e+05	13.3587 51.0014 0.7181	
22.494444 262.659475	7.59e+04  1.47e+05  1.87e+05	-0.0538 38.6033 -0.9660	
22.494444 262.659475	1.01e+05  1.22e+05  1.87e+05	1.5359 38.2887 0.9993	
22.494444 262.659475	6.63e+04  1.58e+05  1.85e+05	-8.7377 39.3627 0.4830	
22.494444 262.659475	8.31e+04  1.55e+05  1.71e+05	-13.9003 50.8337 0.1774	
22.494444 262.659475	1.00e+05  1.45e+05  1.64e+05	12.7830 57.0981 -0.4827	
22.494444 262.659475	1.04e+05  1.35e+05  1.70e+05	19.6519 49.6292 -0.3796	
22.494444 262.659475	4.90e+04  1.68e+05  1.92e+05	-7.7732 31.6702 0.5293	
22.494444 262.659475	1.03e+05  1.36e+05  1.71e+05	6.1764 52.7858 0.9460	
22.494444 262.659475	8.17e+04  1.55e+05  1.73e+05	-6.1250 51.3504 -0.3422	
22.494444 262.659475	7.13e+04  1.51e+05  1.87e+05	-5.7799 37.8119 0.8920	
22.494444 262.659475	8.41e+04  1.45e+05  1.80e+05	21.3092 39.8615 -0.3843	
22.494444 262.659475	1.10e+05  1.27e+05  1.73e+05	-31.7316 40.5240 -0.9030	
22.494444 262.659475	5.35e+04  1.62e+05  1.94e+05	-8.9170 28.6320 0.2161	
22.494444 262.659475	1.11e+05  1.22e+05  1.77e+05	16.0931 45.5676 -0.8446	
22.494444 262.659475	8.86e+04  1.51e+05  1.70e+05	39.8622 36.2393 -0.8896	
22.494444 262.659475	1.02e+05  1.40e+05  1.67e+05	7.5857 55.3965 -0.0516	
22.494444 262.659475	1.04e+05  1.15e+05  1.90e+05	1.6903 34.8302 -0.5445	
22.494444 262.659475	1.02e+05  1.31e+05  1.77e+05	-4.6089 47.7731 -0.8069	
22.494444 262.659475	9.57e+04  1.42e+05  1.72e+05	8.4533 51.6034 0.2235	
22.494444 262.659475	8.43e+04  1.40e+05  1.85e+05	-15.1859 37.5387 -0.3556	
22.494444 262.659475	1.09e+05  1.22e+05  1.78e+05	-7.8324 46.3139 0.0131	
22.494444 262.659475	1.02e+05  1.48e+05  1.59e+05	15.5335 59.6012 -0.3447	
22.494444 262.659475	1.02e+05  1.31e+05  1.76e+05	12.3669 47.3822 -0.1403	
22.494444 262.659475	9.69e+04  1.41e+05  1.72e+05	9.8322 51.3549 -0.1750	
22.494444 262.659475	9.90e+04  1.27e+05  1.83e+05	-1.4632 42.4067 0.5457	
22.494444 262.659475	8.41e+04  1.61e+05  1.64e+05	7.1465 57.4919 -0.0692	
