39.473702 273.057587	4.92e-01  7.07e-01  3.39e+05	0.0000 53.0904 0.5820	
39.473702 273.057587	4.89e-01  6.62e-01  3.47e+05	-17.3687 43.4174 0.3838	
39.473702 273.057587	6.05e-01  7.63e-01  3.15e+05	-9.7455 68.8358 0.6802	
39.473702 273.057587	5.87e-01  9.13e-01  2.99e+05	-22.8185 75.5140 0.8002	
39.473702 273.057587	4.88e-01  8.94e-01  3.13e+05	-13.9038 69.2294 0.4516	
39.473702 273.057587	5.98e-01  9.67e-01  2.91e+05	37.7359 73.6739 0.5064	
39.473702 273.057587	7.86e-01  9.33e-01  2.74e+05	-1.8633 90.6901 0.5770	
39.473702 273.057587	4.94e-01  8.68e-01  3.16e+05	24.2646 64.5960 0.5869	
39.473702 273.057587	3.61e-01  8.97e-01  3.30e+05	-13.1175 58.2317 0.5065	
39.473702 273.057587	3.99e-01  7.94e-01  3.40e+05	7.8178 51.7557 0.7132	
39.473702 273.057587	5.17e-01  8.67e-01  3.13e+05	-2.6758 70.7347 0.3002	
39.473702 273.057587	4.30e-01  8.70e-01  3.25e+05	-11.3419 62.6636 0.2289	
39.473702 273.057587	5.74e-01  7.49e-01  3.21e+05	6.9823 65.4233 0.4138	
39.473702 273.057587	5.78e-01  6.99e-01  3.28e+05	9.4112 60.8415 0.0295	
39.473702 273.057587	7.66e-01  9.16e-01  2.78e+05	-10.6887 88.2464 0.5957	
39.473702 273.057587	6.65e-01  8.74e-01  2.94e+05	-12.9570 80.2142 0.3502	
39.473702 273.057587	6.37e-01  8.26e-01  3.03e+05	-30.5963 70.1284 0.6931	
39.473702 273.057587	8.11e-01  9.65e-01  2.69e+05	-35.3623 86.2833 0.9787	
39.473702 273.057587	4.60e-01  6.78e-01  3.49e+05	8.2948 43.9690 0.0373	
39.473702 273.057587	5.58e-01  8.90e-01  3.05e+05	-0.0251 75.4125 0.8252	
39.473702 273.057587	5.39e-01  9.60e-01  2.99e+05	5.5332 78.6045 0.5642	
39.473702 273.057587	4.95e-01  7.50e-01  3.32e+05	9.5831 57.5144 0.4701	
39.473702 273.057587	5.79e-01  8.47e-01  3.08e+05	-48.1253 56.0978 0.7737	
39.473702 273.057587	5.24e-01  7.72e-01  3.25e+05	39.8189 49.2940 0.4532	
39.473702 273.057587	3.68e-01  8.67e-01  3.34e+05	2.4939 57.1961 0.1692	
39.473702 273.057587	3.62e-01  9.50e-01  3.23e+05	21.7690 60.9592 0.8334	
39.473702 273.057587	5.92e-01  9.50e-01  2.94e+05	-10.5001 80.7261 0.1706	
39.473702 273.057587	4.53e-01  9.08e-01  3.16e+05	-31.6083 61.3078 0.8391	
39.473702 273.057587	6.80e-01  8.66e-01  2.93e+05	-9.2991 81.1793 0.8757	
39.473702 273.057587	4.30e-01  7.81e-01  3.38e+05	-21.9169 49.8889 0.5920	
